Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,predicted cpt,predicted density,calculated cpt,calculated density,"% error, cpt","% error, density",Round,Series,Category,"kde, density","kde, cpt","kde, multivariate"
CCCC(CC)n1cc[n+](C(CC)SN)c1.CCCCCCCCOS(=O)(=O)[O-],16,0.6291079812206573,1-butyl-3-methylimidazolium,octyl sulfate,986.58,1075.73,849.95,1047.97,16.08,2.65,1,2,Imidazolium,1.4225362610529495,0.22730213348718364,1.1539709807286325
CCCC(CC)c1c(CPCF)ccc(N)[n+]1CF.O=C([O-])C(F)(F)F,19,0.5296442687747036,1-butyl-3-methylimidazolium,trifluoroacetate,832.37,989.83,611.72,1208.65,36.07,18.1,1,2,Imidazolium,0.8701602922163241,0.14048010983584708,1.2382371527882199
CCC[N+](C)(C)COOC.N[C@@H](CS)C(=O)[O-],10,0.525,"N,N,N-triethyldodecan-1-aminium",L-cysteinate,533.12,1122.7,492.48,1180.43,8.25,4.89,1,2,Aminium,2.444299011443161,1.3828144361909702,1.9700181717481933
CCCC(N)n1c[n+](C)c(N)c1CC(CC)CC.CCCCCCCCOS(=O)(=O)[O-],18,0.5317460317460317,1-butyl-3-methylimidazolium,octyl sulfate,981.73,929.84,943.77,1028.46,4.02,9.59,1,2,Imidazolium,0.0541314283513584,0.19400978914715966,1.1200537574172813
CCNC(=O)[SH]([NH3+])PCC(C)C1CC1.NCCCC[C@H](N)C(=O)[O-],14,0.5040650406504065,triethyloctylammonium,L-lysinate,660.9,880.3,748.6,1073.06,11.72,17.96,1,2,Ammonium,0.4440944014714793,0.4755831021535664,1.36404096932116
c1cn(c([n+]1C2CCCC2))CCCC.O=C([O-])[C@@H]1CCCN1,14,0.7570621468926554,1-butyl-3-methylimidazolium,L-prolinate,533.56,1094.25,615.33,1039.83,13.29,5.23,1,2,Imidazolium,3.9905342423243466,1.3773216038831706,1.9325112309080472
CCCCCC[N+]1(CCCC1)C.C[C@@H](O)[C@H](N)C(=O)[O-],12,0.8983050847457628,1-butyl-1-methylpyrrolidinium,L-threoninate,624.59,1031.08,626.01,1036.37,0.23,0.51,1,2,Pyrrolidinium,2.596203577030881,0.7031481388768434,1.6339298310362296
CCCCC(CC)CCCn1cc[n+](CCC#N)c1.COP(=O)([O-])OC,19,0.8220858895705522,1-butyl-3-methylimidazolium,dimethylphosphate,644.07,1092.71,719.47,1052.61,10.48,3.81,1,2,Imidazolium,3.6758675109255,1.1836298924930453,1.6900253070775189
CCCC(N)[n+]1c(F)c(PC)n(CCCl)c1N.CS(=O)(=O)[O-],17,0.5254901960784314,1-butyl-3-methylimidazolium,methanesulfonate,763.06,1027.19,557.73,1294.99,36.82,20.68,1,2,Imidazolium,1.7503235453482904,0.4771939446949339,1.329643609302021
CCCCCCC[n+]1ccc(CCC)cc1CC.N#C[N-]C#N,18,0.63125,"1,2-diethylpyridinium",dicyanamide,581.63,992.42,659.73,937.51,11.84,5.86,1,2,Pyridinium,0.676378768925893,0.3934052625366087,1.6936128934742294
CCCc1cn(CN)c[n+]1CCN(C)CCCCF.N#C[C-](C#N)C#N,19,0.5546218487394958,1-butyl-3-methylimidazolium,tricyanomethane,703.01,1098.71,731.15,1071.49,3.85,2.54,1,2,Imidazolium,3.8543783980840485,0.16947550691942814,1.5754431356030212
C[NH+](CCO)CC1CC1.NCCCC[C@H](N)C(=O)[O-],9,0.5542168674698795,"N,N,N-triethyldodecan-1-aminium",L-lysinate,513.49,1063.14,614.14,1098.19,16.39,3.19,1,2,Aminium,3.3604801161409914,1.0985917854509049,1.9994884782105968
CCCC[n+]1ccn(C)c1N.N#C[C-](C#N)C#N,11,0.7976190476190477,1-butyl-3-methylimidazolium,tricyanomethane,847.81,972.12,449.4,1084.23,88.65,10.34,1,2,Imidazolium,0.4642630843328973,0.2134550127360716,1.2312342238614369
CCCCCCn1c(N(C)CC)c(C)[n+](C)c1C.COS(=O)(=O)[O-],18,0.5296442687747036,1-butyl-3-methylimidazolium,methylsulfate,557.57,1021.79,650.09,1067.81,14.23,4.31,1,2,Imidazolium,1.0860410922232109,0.8365265581233239,1.8431705799416591
CCCCCc1cn(C(F)(C#N)C(F)Cl)c(N)[n+]1O.NCCCC[C@H](N)C(=O)[O-],19,0.5234375,1-butyl-3-methylimidazolium,L-lysinate,1496.74,979.48,707.2,1207.72,111.64,18.9,1,2,Imidazolium,0.989034815444324,7.773162541653067e-06,1.0253180589576782
C=Nc1c(C)ccc[n+]1CC(C)(C)N[SH](=O)=O.COP(=O)([O-])OC,17,0.5228215767634855,1-butyl-3-methylimidazolium,dimethylphosphate,649.89,1115.49,559.71,1279.42,16.11,12.81,1,2,Imidazolium,1.639371139543456,0.9376750294354634,1.7109798625691663
CCCCCCC1CC(=O)[NH+](C)C1(CCC)N=C=S.N#C[C-](C#N)C#N,19,0.5,1-butyl-3-methylimidazolium,tricyanomethane,913.31,1083.62,635.32,1056.67,43.76,2.55,1,2,Imidazolium,1.1347610439869351,0.30629954035390217,1.2091980513835896
CCCCCCCCCCC[n+]1ccn(CC)c1.O=C([O-])C(F)(F)F,18,0.9595375722543352,1-methyl-3-octyl-1H-imidazol-3-ium,trifluoroacetate,597.32,1073.02,707.12,1024.04,15.53,4.78,1,2,Imidazolium,1.97520005008852,0.6594688237326937,1.7960060672634797
CCC(c1c(N=C=S)[n+](C)c(N)n1CC)C(C)C.CS(=O)(=O)[O-],18,0.5254901960784314,1-butyl-3-methylimidazolium,methanesulfonate,619.55,969.52,556.44,1160.56,11.34,16.46,1,2,Imidazolium,0.469299157715404,0.6226273014705803,1.5613565307460031
c1c[n+](cn1CCC(C)C)C.COS(=O)(=O)[O-],11,0.9640287769784172,1-butyl-3-methylimidazolium,methylsulfate,415.89,1153.76,453.44,1167.04,8.28,1.14,1,2,Imidazolium,1.1397059265112706,3.146379100416063,2.216647281089963
CCC(CCCCF)Cn1cc[n+](ON)c1C.N[C@@H](CO)C(=O)[O-],17,0.5695652173913044,1-butyl-3-methylimidazolium,L-serinate,451.18,1032.8,654.92,1131.05,31.11,8.69,1,2,Imidazolium,2.9492227206411217,0.3952862682655433,2.0167598126381363
CCCCCC[n+]1ccn(C)c1CO.N#CN=C=[N-],14,0.6666666666666666,1-butyl-3-methylimidazolium,dicyanoazanide,401.2,1054.46,500.98,1047.35,19.92,0.68,1,2,Imidazolium,2.5263044487945048,1.8468291925849447,2.0873211724709524
CCCCC(C)C(C)CCSc1ccc(C)c[n+]1C.[Cl-],19,0.5093457943925234,1-butyl-2-methylpyridinium,chloride,391.15,1011.23,551.09,986.61,29.02,2.5,1,2,Pyridinium,2.654484177212449,1.144813404245836,2.0023820259309737
CCCc1cc(N)[n+](C)c(N)c1.COP(=O)([O-])OC,12,0.5435897435897435,1-butyl-2-methylpyridinium,dimethylphosphate,368.37,978.6,538.47,1204.96,31.59,18.79,1,2,Pyridinium,0.9258746811595036,2.0215779363589266,1.90356088054946
CCCCC(CCC)NCOC[n+]1ccn(C)c1S.O=[N+]([O-])[O-],19,0.5248868778280543,1-butyl-3-methylimidazolium,nitrate,480.59,1098.89,604.43,1125.62,20.49,2.37,1,2,Imidazolium,3.8108389380074703,0.3616613763697773,2.045418993758735
CCCNCCn1cc[n+](C)c1CO.CCCCCCCCOS(=O)(=O)[O-],14,0.5652173913043478,1-isobutyl-3-methylimidazolium,octyl sulfate,493.5,1082.51,762.99,1077.98,35.32,0.42,1,2,Imidazolium,1.0850297066078562,0.9776638311973134,2.0231533917196023
CCC[n+]1cc[nH]c1.C[C@@H](O)[C@H](N)C(=O)[O-],8,0.7983870967741935,1-methyl-3-propylimidazolium,L-threoninate,502.09,1120.93,439.27,1136.62,14.3,1.38,1,2,Imidazolium,2.372812090597726,1.6066378478281298,2.066141685299045
CCC(C)n1cc[n+](C)c1.[Cl-],10,0.8435374149659864,1-methyl-3-propylimidazolium,chloride,374.83,1118.57,301.15,1058.87,24.47,5.64,1,2,Imidazolium,2.1107359800385863,1.3403208396767343,2.1172536514752966
